caption,annotated_caption
"An eurasian lynx at Skåne Zoo (Swedish: Skånes djurpark), near Höör, Scania, southern Sweden.","[('An', 'DET'), ('eurasian', 'ADJ'), ('lynx', 'NOUN'), ('at', 'ADP'), ('Skåne', 'PROPN'), ('Zoo', 'PROPN'), ('(', 'PUNCT'), ('Swedish', 'ADJ'), (':', 'PUNCT'), ('Skånes', 'PROPN'), ('djurpark', 'NOUN'), (')', 'PUNCT'), (',', 'PUNCT'), ('near', 'ADP'), ('Höör', 'PROPN'), (',', 'PUNCT'), ('Scania', 'PROPN'), (',', 'PUNCT'), ('southern', 'ADJ'), ('Sweden', 'PROPN'), ('.', 'PUNCT')]"
"Hopi Chipmunk (Tamias rufus) – Dead Horse State Park, Utah","[('Hopi', 'PROPN'), ('Chipmunk', 'PROPN'), ('(', 'PUNCT'), ('Tamias', 'PROPN'), ('rufus', 'PROPN'), (')', 'PUNCT'), ('–', 'PUNCT'), ('Dead', 'PROPN'), ('Horse', 'PROPN'), ('State', 'PROPN'), ('Park', 'PROPN'), (',', 'PUNCT'), ('Utah', 'PROPN')]"
"Blowfly, (Calliphoridae) female, Austin's Ferry, Tasmania, Australia","[('Blowfly', 'ADV'), (',', 'PUNCT'), ('(', 'PUNCT'), ('Calliphoridae', 'PROPN'), (')', 'PUNCT'), ('female', 'NOUN'), (',', 'PUNCT'), ('Austin', 'PROPN'), (""'s"", 'PART'), ('Ferry', 'PROPN'), (',', 'PUNCT'), ('Tasmania', 'PROPN'), (',', 'PUNCT'), ('Australia', 'PROPN')]"
"Chital (Axis axis) stag attempting to browse on a misty morning in Nagarhole National Park. The stag is on its hind legs, balancing carefully to reach a high leaf.","[('Chital', 'PROPN'), ('(', 'PUNCT'), ('Axis', 'ADJ'), ('axis', 'NOUN'), (')', 'PUNCT'), ('stag', 'VERB'), ('attempting', 'VERB'), ('to', 'PART'), ('browse', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('misty', 'ADJ'), ('morning', 'NOUN'), ('in', 'ADP'), ('Nagarhole', 'PROPN'), ('National', 'PROPN'), ('Park', 'PROPN'), ('.', 'PUNCT'), ('The', 'DET'), ('stag', 'NOUN'), ('is', 'AUX'), ('on', 'ADP'), ('its', 'PRON'), ('hind', 'NOUN'), ('legs', 'NOUN'), (',', 'PUNCT'), ('balancing', 'VERB'), ('carefully', 'ADV'), ('to', 'PART'), ('reach', 'VERB'), ('a', 'DET'), ('high', 'ADJ'), ('leaf', 'NOUN'), ('.', 'PUNCT')]"
"The chital or cheetal (Axis axis), also known as chital deer, spotted deer or axis deer is a deer which commonly inhabits wooded regions of Sri Lanka, Nepal,  Bangladesh, Bhutan, India, and in small numbers in Pakistan. It is the most common deer species in Indian forests. The name Chital comes from the Bengali word Chitral (চিত্রল)/Chitra (চিত্রা), which means ""spotted"". The chital is monotypic within the genus Axis, but this genus has also included three species that now are moved to Hyelaphus based on genetic evidence.


The Picture was taken in Nagarhole NP of India where they thrive in huge numbers. The picture shows Axis axis crossing a road which pass through the national park right in front of a wildlife crossing board. Through this picture I wanted to showcase that wildlife crossing and vehicle drivers should be more careful on the road to prevent road kills.","[('The', 'DET'), ('chital', 'ADJ'), ('or', 'CCONJ'), ('cheetal', 'ADJ'), ('(', 'PUNCT'), ('Axis', 'ADJ'), ('axis', 'NOUN'), (')', 'PUNCT'), (',', 'PUNCT'), ('also', 'ADV'), ('known', 'VERB'), ('as', 'ADP'), ('chital', 'ADJ'), ('deer', 'NOUN'), (',', 'PUNCT'), ('spotted', 'VERB'), ('deer', 'NOUN'), ('or', 'CCONJ'), ('axis', 'ADJ'), ('deer', 'NOUN'), ('is', 'AUX'), ('a', 'DET'), ('deer', 'NOUN'), ('which', 'PRON'), ('commonly', 'ADV'), ('inhabits', 'VERB'), ('wooded', 'ADJ'), ('regions', 'NOUN'), ('of', 'ADP'), ('Sri', 'PROPN'), ('Lanka', 'PROPN'), (',', 'PUNCT'), ('Nepal', 'PROPN'), (',', 'PUNCT'), (' ', 'SPACE'), ('Bangladesh', 'PROPN'), (',', 'PUNCT'), ('Bhutan', 'PROPN'), (',', 'PUNCT'), ('India', 'PROPN'), (',', 'PUNCT'), ('and', 'CCONJ'), ('in', 'ADP'), ('small', 'ADJ'), ('numbers', 'NOUN'), ('in', 'ADP'), ('Pakistan', 'PROPN'), ('.', 'PUNCT'), ('It', 'PRON'), ('is', 'AUX'), ('the', 'DET'), ('most', 'ADV'), ('common', 'ADJ'), ('deer', 'NOUN'), ('species', 'NOUN'), ('in', 'ADP'), ('Indian', 'ADJ'), ('forests', 'NOUN'), ('.', 'PUNCT'), ('The', 'DET'), ('name', 'NOUN'), ('Chital', 'PROPN'), ('comes', 'VERB'), ('from', 'ADP'), ('the', 'DET'), ('Bengali', 'PROPN'), ('word', 'NOUN'), ('Chitral', 'PROPN'), ('(', 'PUNCT'), ('চিত্রল)/Chitra', 'PROPN'), ('(', 'PUNCT'), ('চিত্রা', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('which', 'PRON'), ('means', 'VERB'), ('""', 'PUNCT'), ('spotted', 'VERB'), ('""', 'PUNCT'), ('.', 'PUNCT'), ('The', 'DET'), ('chital', 'NOUN'), ('is', 'AUX'), ('monotypic', 'ADJ'), ('within', 'ADP'), ('the', 'DET'), ('genus', 'NOUN'), ('Axis', 'PROPN'), (',', 'PUNCT'), ('but', 'CCONJ'), ('this', 'DET'), ('genus', 'NOUN'), ('has', 'AUX'), ('also', 'ADV'), ('included', 'VERB'), ('three', 'NUM'), ('species', 'NOUN'), ('that', 'PRON'), ('now', 'ADV'), ('are', 'AUX'), ('moved', 'VERB'), ('to', 'ADP'), ('Hyelaphus', 'PROPN'), ('based', 'VERB'), ('on', 'ADP'), ('genetic', 'ADJ'), ('evidence', 'NOUN'), ('.', 'PUNCT'), ('\n\n\n', 'SPACE'), ('The', 'DET'), ('Picture', 'PROPN'), ('was', 'AUX'), ('taken', 'VERB'), ('in', 'ADP'), ('Nagarhole', 'PROPN'), ('NP', 'PROPN'), ('of', 'ADP'), ('India', 'PROPN'), ('where', 'SCONJ'), ('they', 'PRON'), ('thrive', 'VERB'), ('in', 'ADP'), ('huge', 'ADJ'), ('numbers', 'NOUN'), ('.', 'PUNCT'), ('The', 'DET'), ('picture', 'NOUN'), ('shows', 'VERB'), ('Axis', 'ADJ'), ('axis', 'NOUN'), ('crossing', 'VERB'), ('a', 'DET'), ('road', 'NOUN'), ('which', 'PRON'), ('pass', 'VERB'), ('through', 'ADP'), ('the', 'DET'), ('national', 'ADJ'), ('park', 'NOUN'), ('right', 'ADV'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('wildlife', 'NOUN'), ('crossing', 'NOUN'), ('board', 'NOUN'), ('.', 'PUNCT'), ('Through', 'ADP'), ('this', 'DET'), ('picture', 'NOUN'), ('I', 'PRON'), ('wanted', 'VERB'), ('to', 'PART'), ('showcase', 'VERB'), ('that', 'PRON'), ('wildlife', 'NOUN'), ('crossing', 'NOUN'), ('and', 'CCONJ'), ('vehicle', 'NOUN'), ('drivers', 'NOUN'), ('should', 'AUX'), ('be', 'AUX'), ('more', 'ADV'), ('careful', 'ADJ'), ('on', 'ADP'), ('the', 'DET'), ('road', 'NOUN'), ('to', 'PART'), ('prevent', 'VERB'), ('road', 'NOUN'), ('kills', 'NOUN'), ('.', 'PUNCT')]"
"Grey squirrel (Sciurus carolinensis), Oxfordshire.","[('Grey', 'PROPN'), ('squirrel', 'NOUN'), ('(', 'PUNCT'), ('Sciurus', 'PROPN'), ('carolinensis', 'NOUN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Oxfordshire', 'PROPN'), ('.', 'PUNCT')]"
"Hemidactylus platyurus (flat-tailed house gecko) on white background, in Laos. Focus stacking from 20 pictures shot in studio.","[('Hemidactylus', 'NOUN'), ('platyurus', 'NOUN'), ('(', 'PUNCT'), ('flat', 'ADV'), ('-', 'PUNCT'), ('tailed', 'VERB'), ('house', 'NOUN'), ('gecko', 'PROPN'), (')', 'PUNCT'), ('on', 'ADP'), ('white', 'ADJ'), ('background', 'NOUN'), (',', 'PUNCT'), ('in', 'ADP'), ('Laos', 'PROPN'), ('.', 'PUNCT'), ('Focus', 'PROPN'), ('stacking', 'VERB'), ('from', 'ADP'), ('20', 'NUM'), ('pictures', 'NOUN'), ('shot', 'VERB'), ('in', 'ADP'), ('studio', 'NOUN'), ('.', 'PUNCT')]"
Common Frogs (Rana temporaria) also known as European Common Frogs.,"[('Common', 'PROPN'), ('Frogs', 'PROPN'), ('(', 'PUNCT'), ('Rana', 'PROPN'), ('temporaria', 'NOUN'), (')', 'PUNCT'), ('also', 'ADV'), ('known', 'VERB'), ('as', 'ADP'), ('European', 'PROPN'), ('Common', 'PROPN'), ('Frogs', 'PROPN'), ('.', 'PUNCT')]"
"Gold rim swallowtail butterfly (Battus polydamas jamaicensis), Green Castle Estate, Jamaica","[('Gold', 'NOUN'), ('rim', 'NOUN'), ('swallowtail', 'VERB'), ('butterfly', 'NOUN'), ('(', 'PUNCT'), ('Battus', 'PROPN'), ('polydamas', 'NOUN'), ('jamaicensis', 'NOUN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Green', 'PROPN'), ('Castle', 'PROPN'), ('Estate', 'PROPN'), (',', 'PUNCT'), ('Jamaica', 'PROPN')]"
"Eastern Grey Kangaroo mother and joey, Brunkerville, New South Wales, Australia","[('Eastern', 'PROPN'), ('Grey', 'PROPN'), ('Kangaroo', 'PROPN'), ('mother', 'NOUN'), ('and', 'CCONJ'), ('joey', 'PROPN'), (',', 'PUNCT'), ('Brunkerville', 'PROPN'), (',', 'PUNCT'), ('New', 'PROPN'), ('South', 'PROPN'), ('Wales', 'PROPN'), (',', 'PUNCT'), ('Australia', 'PROPN')]"
"Snowi, a young wild boar in the Wisentgehege Springe game park near Springe, Hanover, Germany","[('Snowi', 'PROPN'), (',', 'PUNCT'), ('a', 'DET'), ('young', 'ADJ'), ('wild', 'ADJ'), ('boar', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('Wisentgehege', 'PROPN'), ('Springe', 'PROPN'), ('game', 'NOUN'), ('park', 'NOUN'), ('near', 'ADP'), ('Springe', 'PROPN'), (',', 'PUNCT'), ('Hanover', 'PROPN'), (',', 'PUNCT'), ('Germany', 'PROPN')]"
An ant in a small piece (1.5cm × 2cm) of Colombian Amber,"[('An', 'DET'), ('ant', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('small', 'ADJ'), ('piece', 'NOUN'), ('(', 'PUNCT'), ('1.5', 'NUM'), ('cm', 'NOUN'), ('×', 'PROPN'), ('2', 'NUM'), ('cm', 'NOUN'), (')', 'PUNCT'), ('of', 'ADP'), ('Colombian', 'ADJ'), ('Amber', 'PROPN')]"
Wanyama Safari - Marabou Stork,"[('Wanyama', 'PROPN'), ('Safari', 'PROPN'), ('-', 'PUNCT'), ('Marabou', 'PROPN'), ('Stork', 'PROPN')]"
"Bighorn Sheep in autumn Kananaskis country, Alberta, Canada","[('Bighorn', 'PROPN'), ('Sheep', 'PROPN'), ('in', 'ADP'), ('autumn', 'NOUN'), ('Kananaskis', 'PROPN'), ('country', 'NOUN'), (',', 'PUNCT'), ('Alberta', 'PROPN'), (',', 'PUNCT'), ('Canada', 'PROPN')]"
"Nyala female (Tragelaphus angasii), Disney's Animal Kingdom Lodge","[('Nyala', 'PROPN'), ('female', 'NOUN'), ('(', 'PUNCT'), ('Tragelaphus', 'PROPN'), ('angasii', 'ADJ'), (')', 'PUNCT'), (',', 'PUNCT'), ('Disney', 'PROPN'), (""'s"", 'PART'), ('Animal', 'PROPN'), ('Kingdom', 'PROPN'), ('Lodge', 'PROPN')]"
"Nyala female (Tragelaphus angasii), Disney's Animal Kingdom Lodge","[('Nyala', 'PROPN'), ('female', 'NOUN'), ('(', 'PUNCT'), ('Tragelaphus', 'PROPN'), ('angasii', 'ADJ'), (')', 'PUNCT'), (',', 'PUNCT'), ('Disney', 'PROPN'), (""'s"", 'PART'), ('Animal', 'PROPN'), ('Kingdom', 'PROPN'), ('Lodge', 'PROPN')]"
"Portrait of a Black-faced Impala ram between Olifantsbad and Aus, in Etosha National Park, Namibia.","[('Portrait', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('Black', 'PROPN'), ('-', 'PUNCT'), ('faced', 'VERB'), ('Impala', 'PROPN'), ('ram', 'NOUN'), ('between', 'ADP'), ('Olifantsbad', 'PROPN'), ('and', 'CCONJ'), ('Aus', 'PROPN'), (',', 'PUNCT'), ('in', 'ADP'), ('Etosha', 'PROPN'), ('National', 'PROPN'), ('Park', 'PROPN'), (',', 'PUNCT'), ('Namibia', 'PROPN'), ('.', 'PUNCT')]"
"Panther chameleon (Furcifer pardalis) male, Montagne d’Ambre, Madagascar. Joffreville locale. There is doubt about the number of possible species or subspecies of Furcifer pardalis. There may be as many as fourteen. The males can be described as colour morphs or forms; the females with their cryptic colouring are very difficult to tell apart. At the moment, the safest definition is to define locale or specific location.","[('Panther', 'ADJ'), ('chameleon', 'NOUN'), ('(', 'PUNCT'), ('Furcifer', 'PROPN'), ('pardalis', 'NOUN'), (')', 'PUNCT'), ('male', 'NOUN'), (',', 'PUNCT'), ('Montagne', 'PROPN'), ('d’Ambre', 'NOUN'), (',', 'PUNCT'), ('Madagascar', 'PROPN'), ('.', 'PUNCT'), ('Joffreville', 'PROPN'), ('locale', 'PROPN'), ('.', 'PUNCT'), ('There', 'PRON'), ('is', 'VERB'), ('doubt', 'NOUN'), ('about', 'ADP'), ('the', 'DET'), ('number', 'NOUN'), ('of', 'ADP'), ('possible', 'ADJ'), ('species', 'NOUN'), ('or', 'CCONJ'), ('subspecies', 'NOUN'), ('of', 'ADP'), ('Furcifer', 'PROPN'), ('pardalis', 'NOUN'), ('.', 'PUNCT'), ('There', 'PRON'), ('may', 'AUX'), ('be', 'AUX'), ('as', 'ADV'), ('many', 'ADJ'), ('as', 'ADP'), ('fourteen', 'NUM'), ('.', 'PUNCT'), ('The', 'DET'), ('males', 'NOUN'), ('can', 'AUX'), ('be', 'AUX'), ('described', 'VERB'), ('as', 'ADP'), ('colour', 'ADJ'), ('morphs', 'NOUN'), ('or', 'CCONJ'), ('forms', 'NOUN'), (';', 'PUNCT'), ('the', 'DET'), ('females', 'NOUN'), ('with', 'ADP'), ('their', 'PRON'), ('cryptic', 'ADJ'), ('colouring', 'NOUN'), ('are', 'AUX'), ('very', 'ADV'), ('difficult', 'ADJ'), ('to', 'PART'), ('tell', 'VERB'), ('apart', 'ADV'), ('.', 'PUNCT'), ('At', 'ADP'), ('the', 'DET'), ('moment', 'NOUN'), (',', 'PUNCT'), ('the', 'DET'), ('safest', 'ADJ'), ('definition', 'NOUN'), ('is', 'AUX'), ('to', 'PART'), ('define', 'VERB'), ('locale', 'NOUN'), ('or', 'CCONJ'), ('specific', 'ADJ'), ('location', 'NOUN'), ('.', 'PUNCT')]"
"Bonnet macaque (Macaca radiata). Pictured in the Lalbagh Botanical Gardens, Bangalore, India","[('Bonnet', 'NOUN'), ('macaque', 'NOUN'), ('(', 'PUNCT'), ('Macaca', 'PROPN'), ('radiata', 'NOUN'), (')', 'PUNCT'), ('.', 'PUNCT'), ('Pictured', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('Lalbagh', 'PROPN'), ('Botanical', 'PROPN'), ('Gardens', 'PROPN'), (',', 'PUNCT'), ('Bangalore', 'PROPN'), (',', 'PUNCT'), ('India', 'PROPN')]"
"African elephant (Loxodonta africana), Queen Elizabeth Park, Uganda","[('African', 'ADJ'), ('elephant', 'NOUN'), ('(', 'PUNCT'), ('Loxodonta', 'PROPN'), ('africana', 'PROPN'), (')', 'PUNCT'), (',', 'PUNCT'), ('Queen', 'PROPN'), ('Elizabeth', 'PROPN'), ('Park', 'PROPN'), (',', 'PUNCT'), ('Uganda', 'PROPN')]"
This   file was uploaded  with Commonist.,"[('This', 'DET'), ('  ', 'SPACE'), ('file', 'NOUN'), ('was', 'AUX'), ('uploaded', 'VERB'), (' ', 'SPACE'), ('with', 'ADP'), ('Commonist', 'PROPN'), ('.', 'PUNCT')]"
Animals,"[('Animals', 'NOUN')]"
"Mountain gorilla (Gorilla beringei beringei) female, Volcanoes National Park, Rwanda","[('Mountain', 'NOUN'), ('gorilla', 'NOUN'), ('(', 'PUNCT'), ('Gorilla', 'PROPN'), ('beringei', 'NOUN'), ('beringei', 'NOUN'), (')', 'PUNCT'), ('female', 'NOUN'), (',', 'PUNCT'), ('Volcanoes', 'PROPN'), ('National', 'PROPN'), ('Park', 'PROPN'), (',', 'PUNCT'), ('Rwanda', 'PROPN')]"
Logo de la serie Animal Kingdom,"[('Logo', 'PROPN'), ('de', 'X'), ('la', 'PROPN'), ('serie', 'ADJ'), ('Animal', 'PROPN'), ('Kingdom', 'PROPN')]"
Film poster for the 1932 film The Animal Kingdom,"[('Film', 'NOUN'), ('poster', 'NOUN'), ('for', 'ADP'), ('the', 'DET'), ('1932', 'NUM'), ('film', 'NOUN'), ('The', 'DET'), ('Animal', 'PROPN'), ('Kingdom', 'PROPN')]"
